date,Apple,IBM,Intel
2016-05-02,90.52,147.72,29.91
2016-04-01,93.173,144.545,30.021
2016-03-01,108.33,150.002,32.073
2016-02-01,96.105,129.778,29.337
2016-01-04,96.229,122.348,30.486
2015-12-01,104.058,134.926,33.857
2015-11-02,116.95,136.691,34.171
2015-10-01,117.632,136.062,33.044
2015-09-01,108.576,140.812,29.414
2015-08-03,110.998,143.648,27.853
2015-07-01,118.866,156.048,28.02
2015-06-01,122.913,156.693,29.443
2015-05-01,127.666,163.427,33.353
2015-04-01,122.129,163.768,31.278
2015-03-02,121.426,153.451,30.048
2015-02-02,125.359,154.828,31.951
2015-01-02,113.882,145.556,31.523
2014-12-01,107.292,152.326,34.624
2014-11-03,115.603,153.968,35.539
2014-10-01,104.525,155.024,32.237
2014-09-02,97.508,179.004,33.005
2014-08-01,99.202,181.333,33.099
2014-07-01,92.066,179.676,31.911
2014-06-02,89.495,169.927,29.095
2014-05-01,87.086,172.824,25.725
2014-04-01,80.732,183.11,24.917
2014-03-03,73.433,179.401,24.096
2014-02-03,71.996,172.578,23.115
2014-01-02,68.081,163.768,22.694
2013-12-02,76.298,173.862,24.007
2013-11-01,75.625,166.549,22.046
2013-10-01,70.674,165.226,22.419
2013-09-03,64.461,170.73,20.999
2013-08-01,65.876,168.047,20.138
2013-07-01,60.785,178.926,21.177
2013-06-03,53.263,175.321,21.984
2013-05-01,60.409,190.834,22.029
2013-04-01,59.084,184.939,21.527
2013-03-01,59.068,194.764,19.631
2013-02-01,58.9,183.378,18.768
2013-01-02,60.428,184.646,18.71
2012-12-03,70.601,174.171,18.337
2012-11-01,77.647,172.826,17.403
2012-10-01,78.619,176.11,19.039
2012-09-04,88.099,187.807,19.946
2012-08-01,87.853,176.4,21.856
2012-07-02,80.314,176.669,22.425
2012-06-01,76.795,176.308,23.254
2012-05-01,75.97,173.892,22.547
2012-04-02,76.792,185.896,24.603
2012-03-01,78.84,187.305,24.36
2012-02-01,71.33,176.605,23.286
2012-01-03,60.026,172.227,22.706
2011-12-01,53.257,164.429,20.841
2011-11-01,50.258,168.113,21.408
2011-10-03,53.228,164.439,20.904
2011-09-01,50.143,155.746,18.179
2011-08-01,50.604,153.11,17.148
2011-07-01,51.347,161.261,18.838
2011-06-01,44.14,152.127,18.695
2011-05-02,45.739,149.803,18.99
2011-04-01,46.041,150.593,19.378
2011-03-01,45.828,143.963,16.892
2011-02-01,46.446,142.913,17.971
2011-01-03,44.62,142.454,17.812
2010-12-01,42.416,129.053,17.455
2010-11-01,40.916,124.393,17.563
2010-10-01,39.578,125.716,16.513
2010-09-01,37.313,117.434,15.813
2010-08-02,31.967,107.795,14.552
2010-07-01,33.828,111.855,16.837
2010-06-01,33.076,107.569,15.897
2010-05-03,33.779,109.119,17.507
2010-04-01,34.333,111.804,18.537
2010-03-01,30.902,111.154,18.091
2010-02-01,26.907,110.209,16.662
2010-01-04,25.255,105.603,15.62
2009-12-01,27.711,112.946,16.425
2009-11-02,26.288,109.02,15.459
2009-10-01,24.787,103.602,15.27
2009-09-01,24.373,102.743,15.638
2009-08-03,22.119,101.403,16.237
2009-07-01,21.485,100.83,15.271
2009-06-01,18.729,89.279,13.129
2009-05-01,17.859,90.869,12.47
2009-04-01,16.546,87.786,12.413
2009-03-02,13.823,82.41,11.823
2009-02-02,11.744,78.276,10.022
2009-01-02,11.852,77.532,10.044
2008-12-01,11.223,71.195,11.414
2008-11-03,12.186,69.03,10.745
2008-10-01,14.148,78.211,12.373
2008-09-02,14.946,98.393,14.458
2008-08-01,22.293,102.405,17.653
2008-07-01,20.902,107.245,17.022
2008-06-02,22.018,99.326,16.477
2008-05-01,24.82,108.46,17.781
2008-04-01,22.874,100.733,16.974
2008-03-03,18.87,96.093,16.151
2008-02-01,16.44,95.025,15.228
2008-01-02,17.8,89.051,15.992
2007-12-03,26.047,89.874,20.207
2007-11-01,23.962,87.446,19.767
2007-10-01,24.978,96.2,20.303
2007-09-04,20.181,97.592,19.518
2007-08-01,18.21,96.673,19.435
2007-07-02,17.326,91.346,17.744
2007-06-01,16.048,86.888,17.834
2007-05-01,15.936,88.002,16.662
2007-04-02,13.123,84.051,16.068
2007-03-01,12.217,77.513,14.297
2007-02-01,11.126,76.428,14.843
2007-01-03,11.273,81.29,15.581
2006-12-01,11.156,79.65,15.054
2006-11-01,12.053,75.362,15.908
2006-10-02,10.662,75.453,15.787
2006-09-01,10.123,66.963,15.217
2006-08-01,8.922,66.17,14.478
2006-07-03,8.937,63.009,13.24
2006-06-01,7.531,62.529,13.976
2006-05-01,7.86,65.036,13.255
2006-04-03,9.256,66.781,14.622
2006-03-01,8.248,66.886,14.241
2006-02-01,9.006,65.077,15.076
2006-01-03,9.929,65.772,15.485
2005-12-01,9.453,66.5,18.18
